name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Houston,2019-01-01,18,8.6,13.5,18,6.8,13.3,7.5,68.6,0,0,0,,0,0,29.5,19.9,23.1,1019.9,40.9,11.9,99.7,8.4,5,,2019-01-01T07:16:55,2019-01-01T17:33:16,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-02,14,10.1,11.6,14,10.1,11.6,10,90.6,22.947,100,58.33,rain,0,0,38.8,24.4,22,1017.8,96.2,9.4,14.2,1.1,1,,2019-01-02T07:17:09,2019-01-02T17:33:58,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-03,13.6,5.8,9,13.6,2.9,7.3,7.6,91.2,2.725,100,50,rain,0,0,38.3,21.9,314.6,1014.7,81.6,11,34.9,2.9,2,,2019-01-03T07:17:22,2019-01-03T17:34:42,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-01-04,17.3,3.9,10,17.3,1.2,9,3.7,66.8,0,0,0,,0,0,25.9,20,275.1,1017.2,0.7,15.7,144.6,12.5,6,,2019-01-04T07:17:32,2019-01-04T17:35:26,0.95,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-05,22.8,9.2,14.7,22.8,9.2,14.7,6.4,62,0,0,0,,0,0,,14.3,207.9,1021,0.4,15.8,149,12.9,7,,2019-01-05T07:17:41,2019-01-05T17:36:12,0,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-06,22.5,12.4,16.7,22.5,12.4,16.7,13.7,83.5,0,0,0,,0,0,27.8,13.8,152.2,1019.9,27.8,15.6,137,11.6,8,,2019-01-06T07:17:49,2019-01-06T17:36:58,0.02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-07,23.9,15.5,19.1,23.9,15.5,19.1,15.4,80.4,0,0,0,,0,0,26.1,14.5,178.9,1018.8,55.9,15.9,76.7,6.6,5,,2019-01-07T07:17:55,2019-01-07T17:37:44,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-08,25.4,17.4,20.4,25.4,17.4,20.4,16.3,78.6,0,0,0,,0,0,31.7,13.2,297.9,1022.1,39.2,15.8,116.8,10,6,,2019-01-08T07:17:59,2019-01-08T17:38:32,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-09,18,10.8,14.9,18,10.8,14.9,2.4,45.6,0,0,0,,0,0,39.9,27.7,17.9,1028.8,18.1,16,157.7,13.6,7,,2019-01-09T07:18:01,2019-01-09T17:39:20,0.12,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-10,18.1,8.1,12.6,18.1,6.4,12.3,-1.6,39.4,0,0,0,,0,0,,10.5,39.6,1025.9,6.9,16,123.4,10.7,6,,2019-01-10T07:18:02,2019-01-10T17:40:08,0.15,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-11,20.7,9.8,14.6,20.7,8.3,14.5,7.8,65.2,0,0,0,,0,0,35.3,11.5,101.6,1019.1,31.1,15.7,140.3,12.3,6,,2019-01-11T07:18:01,2019-01-11T17:40:57,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-12,19.5,9,15.9,19.5,6.5,15.7,10,71,5.791,100,16.67,rain,0,0,42,27.5,299.9,1017.7,39.6,14.3,145.3,12.6,7,,2019-01-12T07:17:59,2019-01-12T17:41:47,0.22,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-13,15,5.5,9.6,15,2.9,8.2,1.6,58.4,0,0,0,,0,0,37.1,18.4,351.9,1026.6,2.4,16,106.9,9.3,6,,2019-01-13T07:17:55,2019-01-13T17:42:37,0.25,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-01-14,13.4,3.9,8.5,13.4,0.4,6.8,1.4,62.4,0,0,0,,0,0,25.9,17.1,8.7,1029.6,29.8,15.6,39.5,3.3,3,,2019-01-14T07:17:49,2019-01-14T17:43:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-01-15,12.8,7.8,9.9,12.8,5.9,9.4,3.8,66.2,0,0,0,,0,0,24.1,11.8,52,1027,85.4,13.9,66.7,5.7,4,,2019-01-15T07:17:42,2019-01-15T17:44:18,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-16,15.9,10.1,13.5,15.9,10.1,13.5,11.1,86.3,0.598,100,25,rain,0,0,,9.1,84.2,1023.8,96.1,9.3,49.8,4.3,3,,2019-01-16T07:17:33,2019-01-16T17:45:09,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-17,20.9,15.7,17.5,20.9,15.7,17.5,15.1,86.9,0.514,100,20.83,rain,0,0,43.6,16.3,239.2,1020.3,58.9,11.9,107.3,9.2,6,,2019-01-17T07:17:22,2019-01-17T17:46:00,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,AN528,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-18,21.1,14.9,18.1,21.1,14.9,18.1,17.2,94.4,0.177,100,8.33,rain,0,0,36.7,19.7,188.6,1014.4,86.5,9.9,39.6,3.3,2,,2019-01-18T07:17:09,2019-01-18T17:46:52,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHOU,72059400188,AN537,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
