name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
El Paso,2019-01-01,9.1,-2.7,2.3,7,-4.9,-0.4,-5.1,59.9,0,0,0,,0,0,35.3,25.5,80,1013.6,18,15.8,150.6,12.9,6,,2019-01-01T07:06:02,2019-01-01T17:13:07,0.85,Clear,Clear conditions throughout the day.,clear-day,"NM6ZM,KBIF,KLRU,72270499999,72364099999,72270023044,AN495,KELP"
El Paso,2019-01-02,2,-4.3,-0.8,1.4,-8.3,-3.9,-5.2,72.6,0,0,0,,0,0,,21.2,18.2,1017.5,48,15.8,78.9,6.7,4,,2019-01-02T07:06:15,2019-01-02T17:13:51,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"NM6ZM,KBIF,72270499999,72364099999,72270023044,AN495,KELP"
El Paso,2019-01-03,8.8,-4,2.2,8,-8,0.3,-4.3,65.5,0,0,0,,0,0,,15.1,230.1,1021,7,15.2,158.3,13.8,6,,2019-01-03T07:06:26,2019-01-03T17:14:37,0.92,Clear,Clear conditions throughout the day.,clear-day,"NM6ZM,KBIF,KLRU,72270499999,72364099999,72270023044,AN495,KELP"
El Paso,2019-01-04,11.4,-2.9,3.2,11.4,-6.7,2,-6,54.4,0,0,0,,0,0,,11,21.3,1021.3,0.7,15.3,158.8,13.7,6,,2019-01-04T07:06:35,2019-01-04T17:15:23,0.96,Clear,Clear conditions throughout the day.,clear-day,"KBIF,72270499999,72364099999,72270023044,AN495,AN496,KELP"
El Paso,2019-01-05,13.5,-4.4,4.9,13.5,-6.5,4.2,-5.3,51.9,0,0,0,,0,0,,9.9,16.7,1019.8,31.9,15.5,148.5,12.9,6,,2019-01-05T07:06:42,2019-01-05T17:16:09,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"NM6ZM,KBIF,KLRU,72270499999,72364099999,72270023044,AN495,KELP"
El Paso,2019-01-06,14.2,5.8,9.7,14.2,4.6,9.1,1.5,57.7,0.011,100,4.17,rain,0,0,41.9,24.8,261.2,1014.5,58.8,15.4,53.4,4.5,4,,2019-01-06T07:06:48,2019-01-06T17:16:57,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"NM6ZM,KBIF,KLRU,72270499999,72364099999,72270023044,AN495,KELP"
El Paso,2019-01-07,15.6,5.7,10.1,15.6,3.4,9.1,-0.4,50.4,0,0,0,,0,0,29.5,25.9,259.3,1020.1,34.1,15.5,153.5,13.3,6,,2019-01-07T07:06:52,2019-01-07T17:17:46,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"NM6ZM,KBIF,KLRU,72270499999,72364099999,72270023044,AN495,KELP"
El Paso,2019-01-08,13.6,2.8,8.4,13.6,-0.2,7.2,-1.8,50.3,0,0,0,,0,0,,17.8,10.7,1024.1,69.9,15.4,89.2,7.7,3,,2019-01-08T07:06:54,2019-01-08T17:18:35,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,KLRU,72270499999,72364099999,72270023044,AN495,KELP"
El Paso,2019-01-09,12.8,5.2,8.8,12.8,3.3,8,-3.6,42.7,0.272,100,4.17,rain,0,0,25.9,17.4,47.2,1025.8,62,15.6,80.8,6.9,3,,2019-01-09T07:06:55,2019-01-09T17:19:25,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"NM6ZM,KBIF,KLRU,72270499999,72364099999,72270023044,AN495,KELP"
El Paso,2019-01-10,14,5,8.9,14,3.2,7.3,3.5,70.5,2.021,100,37.5,rain,0,0,,18.4,345.6,1019.3,57.9,15.4,105.2,9.2,5,,2019-01-10T07:06:53,2019-01-10T17:20:16,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"AN502,KLRU,KBIF,72270499999,72364099999,72270023044,AN495,KELP"
